Score,Round,Name,Diff,Map
100200,20,Ben,Normal,>
54300,10,Pat,Normal,Line
82000,15,Yit,Hard,Z2
10000,7,Bob,Easy,Line
5900,4,ben,Normal,Z
14500,21," neb",Normal,Line
5900,4,ben,Normal,Z
21830,21," ",Normal,Line
5260,4,Ben,Normal,Z
